empresa;estrategias de marketing mais eficientes que mostrem nossa marca para nosso publico alvo;IA e automacoes para auxiliar nas atividades operacionais;desenvolver estrategias de atendimento eficientes;melhorar a comunicacao entre nossos clientes e nossa equipe de atendimento;ambiente integrado para manter as equipes 100 entrosadas;aumento da produtividade da equipe;melhorar a capacitacao das equipes de CRM;reducao no custo de suporte e atendimento ao clientes;aumentar a conversao da loja virtual;potencializar as vendas em canais online como loja virtual whatsapp entre outros;acelerar e aumentar as vendas atraves de dados e ferramentas qualificadas;riqueza de dados para analise integrada do nosso time de vendas;Melhorar a experiencia do cliente com uma equipe de atendimento assertiva por meio de ferramentas eficazes;Mostrar os diferenciais da minha marca para os clientes que desejo objeter;criar jornadas personalizadas na segmentacao dos nossos clientes entendendo quem sao e o que querem;Marketing de oportunidade eficiente base forte e preparada para o mercado ;TARGET
usuario 1;3;4;4;4;3;3;4;3;4;4;4;3;3;4;4;4;CUSTOMER 360 OU STARTER
usuario 2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;CUSTOMER 360 OU STARTER
usuario 3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;CUSTOMER 360 OU STARTER
usuario 4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;CUSTOMER 360 OU STARTER
usuario 5;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;CUSTOMER 360 OU STARTER
usuario 6;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;CUSTOMER 360 OU STARTER
usuario 7;3;4;4;4;3;3;4;3;4;4;4;3;3;4;4;4;CUSTOMER 360 OU STARTER
usuario 8;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;CUSTOMER 360 OU STARTER
usuario 9;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;CUSTOMER 360 OU STARTER
usuario 10;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;CUSTOMER 360 OU STARTER
usuario 11;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;CUSTOMER 360 OU STARTER
usuario 12;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;CUSTOMER 360 OU STARTER
usuario 13;3;4;4;4;3;3;4;3;4;4;4;3;3;4;4;4;CUSTOMER 360 OU STARTER
usuario 14;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;CUSTOMER 360 OU STARTER
usuario 15;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;CUSTOMER 360 OU STARTER
usuario 16;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;CUSTOMER 360 OU STARTER
usuario 17;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;CUSTOMER 360 OU STARTER
usuario 18;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;CUSTOMER 360 OU STARTER
usuario 19;3;4;4;4;3;3;4;3;4;4;4;3;3;4;4;4;CUSTOMER 360 OU STARTER
usuario 20;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;CUSTOMER 360 OU STARTER
usuario 21;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;CUSTOMER 360 OU STARTER
usuario 22;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;CUSTOMER 360 OU STARTER
usuario 23;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;CUSTOMER 360 OU STARTER
usuario 24;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;CUSTOMER 360 OU STARTER
usuario 25;3;4;4;4;3;3;4;3;4;4;4;3;3;4;4;4;CUSTOMER 360 OU STARTER
usuario 26;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;CUSTOMER 360 OU STARTER
